# 一簡
一	y
荄	ghiiov
鈣	ghio
鈣	ghiovi
晐	gho
該	ghoaov
晐	ghoiov
胲	ghu
胲	ghuova
概	ghv
概	ghvavv
丐	ghvi
丐	ghviva
垓	ghvo
盍	ghvoi
盍	ghvoia
垓	ghvoov
古	gj
姑	gja
孤	gjai
孤	gjaiuu
汩	gjao
汩	gjaoii
沽	gjau
瀔	gjauo
沽	gjauoo
瀔	gjauov
姑	gjauuo
固	gji
骨	gjia
蠱	gjiai
崮	gjiaia
崮	gjiaia
蠱	gjiaia
蛄	gjiau
骰	gjiaua
骰	gjiaua
鶻	gjiaui
鶻	gjiaui
固	gjiauo
岵	gjiauo
岵	gjiauo
罟	gjiauo
罟	gjiauo
蛄	gjiauo
骨	gjiauu
菇	gjii
菰	gjiia
菰	gjiiai
菇	gjiiau
䓛	gjiiav
䓛	gjiiav
蓇	gjiii
蓇	gjiiia
錮	gjio
餶	gjioi
錮	gjioia
餶	gjioia
鈷	gjiou
鈷	gjiouo
估	gjiu
估	gjiuoo
僱	gjiuu
僱	gjiuua
咕	gjo
詁	gjoa
祜	gjoau
祜	gjoauo
詁	gjoauo
怙	gjoo
怙	gjoouo
家	gjoov
家	gjoovu
呱	gjou
咕	gjouoo
羖	gjouu
呱	gjouua
羖	gjouua
哌	gjouuu
哌	gjouuu
痼	gjov
痼	gjovia
故	gju
觚	gjua
鯝	gjuai
鯝	gjuaia
觚	gjuauu
谷	gjuo
嘏	gjuoa
嘏	gjuoav
辜	gjuoo
古	gjuooo
谷	gjuooo
辜	gjuoov
鴣	gjuou
鴣	gjuoui
故	gjuouv
股	gjuu
股	gjuuaa
雇	gjuui
雇	gjuuio
𦙶	gjuuo
𦙶	gjuuoo
胍	gjuuu
胍	gjuuua
顧	gjuuv
顧	gjuuvu
箍	gjuv
箍	gjuviu
臌	gjuvo
臌	gjuvov
牯	gjuvu
牯	gjuvuo
牿	gjuvuv
牿	gjuvuv
賈	gjv
軲	gjva
軲	gjvauo
酤	gjvi
賈	gjviao
酤	gjviuo
堌	gjvo
瞽	gjvoi
堌	gjvoia
瞽	gjvoia
鼓	gjvou
榖	gjvoua
榖	gjvoua
穀	gjvoua
穀	gjvoua
轂	gjvoua
轂	gjvoua
鼓	gjvouo
梏	gjvu
梏	gjvuvi
國	gl
渦	gla
漍	glai
渦	glaiav
漍	glaiav
過	gli
果	glia
幗	gliai
幗	gliaia
蜾	gliaia
蜾	gliaia
蝸	gliaia
蝸	gliaia
蟈	gliaia
蟈	gliaia
剮	gliaii
剮	gliaii
崞	gliao
過	gliaoa
崞	gliaov
咼	gliav
咼	gliavi
國	gliavo
果	gliavv
鍋	glio
餜	glioi
錁	glioia
錁	glioia
鍋	glioia
餜	glioia
摑	gliu
撾	gliui
摑	gliuia
撾	gliuia
郭	glo
杲	gloi
杲	gloivv
馘	glou
粿	gloui
粿	glouia
馘	glouvo
裹	glov
郭	glovai
裹	glovia
猓	glu
猓	gluaia
膕	glui
膕	gluiav
虢	gluo
虢	gluoiv
聒	glv
聒	glviuv
槨	glvo
堝	glvoi
堝	glvoia
槨	glvovo
跟	gn
艮	gna
艮	gnavva
茛	gni
茛	gniiav
哏	gno
哏	gnoavv
閬	gnoi
跟	gnoiav
閬	gnoioa
根	gnv
根	gnvavv
亙	gnvu
亙	gnvuao
剛	gp
港	gpa
綱	gpaa
綱	gpaaia
繮	gpaav
繮	gpaavi
港	gpavii
鋼	gpi
崗	gpia
崗	gpiaia
剛	gpiaii
岡	gpiao
岡	gpiaou
罡	gpiav
罡	gpiavi
鋼	gpioia
扛	gpiu
扛	gpiuvi
戇	gpo
冮	gpov
戇	gpovoa
冮	gpovvi
缸	gpu
舡	gpuu
舡	gpuuvi
肛	gpuv
肛	gpuviv
缶	gpuvu
缶	gpuvuo
筻	gpuvv
筻	gpuvvi
缸	gpuvvi
槓	gpv
	gpvi
	gpviau
堽	gpvo
堽	gpvoia
	gpvou
	gpvoua
豇	gpvov
豇	gpvovi
矼	gpvu
矼	gpvuvi
杠	gpvv
杠	gpvviv
槓	gpvviv
掛	gq
括	gqi
剮	gqia
剮	gqiaii
蛞	gqiau
蛞	gqiauv
咼	gqiav
咼	gqiavi
挂	gqiu
括	gqiuuv
挂	gqiuvo
掛	gqiuvo
寡	gqo
褂	gqoa
詿	gqoav
褂	gqoavo
詿	gqoavo
寡	gqoovu
呱	gqou
呱	gqouua
刮	gqu
颳	gqua
颳	gquauv
腡	gqui
腡	gquiav
瓜	gquu
瓜	gquuao
胍	gquuu
胍	gquuua
鴰	gquv
刮	gquvii
适	gquvo
适	gquvoa
鴰	gquvui
卦	gqv
聒	gqvi
聒	gqviuv
坬	gqvo
卦	gqvoio
坬	gqvouu
栝	gqvu
栝	gqvuvi
更	gr
綆	gra
綆	graavi
浭	grav
浭	gravia
庚	gro
羹	grou
羹	grouou
粳	grouv
粳	grouvi
哽	grov
賡	grova
賡	grovao
庚	grovav
哽	grovia
鶊	grovu
鶊	grovui
鯁	gru
㹴	grua
㹴	gruavi
鯁	gruavi
耕	grv
頸	grva
頸	grvavu
耿	grvi
更	grviav
耿	grviou
埂	grvo
埂	grvovi
𬒔	grvu
亙	grvua
亙	grvuao
𬒔	grvuiv
梗	grvv
梗	grvvia
耕	grvvvv
嘎	gs
尕	gsa
尕	gsauiu
伽	gsi
伽	gsiauo
釓	gsio
釓	gsioaa
尜	gsiu
尜	gsiuvu
價	gsiv
價	gsivia
噶	gso
咖	gsoa
咖	gsoauo
噶	gsoiio
嘎	gsovui
旮	gsu
旮	gsuaoi
胳	gsuu
胳	gsuuao
尬	gsv
軋	gsva
軋	gsvaaa
夾	gsvi
夾	gsviiu
戛	gsvu
尬	gsvuiu
戛	gsvuva
關	gt
貫	gta
綸	gtaa
貫	gtaaao
毌	gtaai
毌	gtaaiv
綸	gtaaiv
灌	gtai
灌	gtaiio
涫	gtao
矜	gtaoi
矜	gtaoio
涫	gtaooa
觀	gti
鸛	gtii
觀	gtiiia
莞	gtiio
蒄	gtiioa
蒄	gtiioa
莞	gtiioo
鸛	gtiiua
館	gtio
倌	gtioo
倌	gtiooa
館	gtiooo
摜	gtiu
摜	gtiuaa
官	gto
冠	gtoa
祼	gtoai
祼	gtoaia
冠	gtoavv
關	gtoiaa
慣	gtoo
慣	gtooaa
官	gtooia
逭	gtooo
逭	gtoooa
爟	gtou
爟	gtouii
管	gtu
鰥	gtua
鰥	gtuaia
盥	gtui
盥	gtuiia
斡	gtuo
斡	gtuoio
脘	gtuoo
脘	gtuooa
罐	gtuv
罐	gtuvii
筦	gtuvo
筦	gtuvoo
管	gtuvoo
朊	gtuvv
朊	gtuvvu
棺	gtv
棺	gtvooa
瓘	gtvv
瓘	gtvvii
琯	gtvvo
琯	gtvvoo
給	gw
滾	gwa
緄	gwaa
給	gwaaiv
緄	gwaaoi
滾	gwaovu
袞	gwo
袞	gwovuo
鯀	gwu
鯀	gwuaua
棍	gwv
輥	gwva
輥	gwvaoi
棍	gwvoiv
磙	gwvu
硍	gwvua
硍	gwvuav
磙	gwvuov
光	gx
潢	gxa
纊	gxaa
纊	gxaaov
洸	gxai
洸	gxaiou
潢	gxavii
光	gxioua
廣	gxo
咣	gxoi
咣	gxoiou
鄺	gxov
鄺	gxovai
廣	gxovvi
逛	gxu
獷	gxua
逛	gxuaoa
獷	gxuaov
胱	gxui
胱	gxuiou
桄	gxv
輄	gxva
輄	gxvaio
桄	gxviou
垙	gxvo
垙	gxvoio
珖	gxvv
珖	gxvvio
共	gy
弓	gya
紅	gyaa
紅	gyaavi
弓	gyavaa
供	gyi
蚣	gyia
蚣	gyiauo
拱	gyiu
拱	gyiuvi
供	gyivii
宮	gyo
咣	gyoi
咣	gyoiou
宮	gyooou
龔	gyov
嗊	gyovi
嗊	gyoviv
龔	gyovvi
公	gyu
觥	gyua
觥	gyuaio
躬	gyui
躬	gyuiav
公	gyuoao
肱	gyuv
肱	gyuvua
篢	gyuvv
篢	gyuvvi
工	gyv
功	gyvi
汞	gyvia
汞	gyviaa
䢼	gyviai
䢼	gyviai
貢	gyviao
貢	gyviao
功	gyviau
恭	gyvii
恭	gyviiu
攻	gyviu
共	gyviuo
攻	gyviuv
鞏	gyviv
鞏	gyvivi
工	gyvivv
廾	gyvu
廾	gyvuii
珙	gyvv
珙	gyvvvi
高	gz
縞	gza
縞	gzaaov
搞	gzi
睪	gzia
睪	gziavo
藁	gzii
藁	gziivv
鎬	gzio
鎬	gzioov
鋯	gziou
鋯	gziouv
攪	gziu
搞	gziuov
攪	gziuuo
糕	gzo
誥	gzoa
禚	gzoao
禚	gzoaou
誥	gzoauv
杲	gzoi
嚆	gzoii
嚆	gzoiio
杲	gzoivv
羔	gzou
嗥	gzoui
嗥	gzouia
羔	gzouoo
糕	gzouou
膏	gzov
高	gzovoi
膏	gzovuu
告	gzu
皋	gzui
睾	gzuiv
睾	gzuivo
皋	gzuivu
臬	gzuivv
臬	gzuivv
稿	gzuv
郜	gzuva
郜	gzuvai
篙	gzuvo
告	gzuvoo
稿	gzuvov
篙	gzuvov
筶	gzuvu
鵠	gzuvui
鵠	gzuvui
牿	gzuvuv
牿	gzuvuv
筶	gzuvuv
槁	gzv
槁	gzvovo
槔	gzvu
桕	gzvui
槔	gzvuia
桕	gzvuiv
梏	gzvuv
梏	gzvuvi
會	hb
繪	hba
彙	hbaa
繢	hbaai
彙	hbaaia
繢	hbaaia
繪	hbaaiv
彖	hbaav
彖	hbaavu
洄	hbai
潰	hbaia
洄	hbaiao
潰	hbaiav
隳	hbaii
隳	hbaiii
澮	hbaiv
澮	hbaivi
墮	hbaivo
墮	hbaivo
賄	hbao
翬	hbaoo
翬	hbaooa
賄	hbaovu
回	hbi
蛔	hbia
蛔	hbiaia
迴	hbiao
迴	hbiaoa
回	hbiaoo
蟪	hbiav
蟪	hbiavi
薈	hbii
茴	hbiii
茴	hbiiia
薈	hbiiiv
蕙	hbiiv
蕙	hbiivi
輝	hbio
輝	hbiooa
揮	hbiu
揮	hbiuoa
翽	hbiv
鄶	hbiva
鄶	hbivai
翽	hbivao
會	hbivia
恢	hbo
諱	hboa
喙	hboaa
褘	hboaai
褘	hboaai
諱	hboaai
喙	hboaav
諢	hboao
諢	hboaoa
誨	hboau
誨	hboauv
詼	hboav
譓	hboavi
譓	hboavi
詼	hboavu
晦	hboi
暉	hboio
暉	hboioa
晦	hboiuv
噦	hboiv
噦	hboivi
噲	hboivi
噲	hboivi
悔	hboo
悔	hboouv
恢	hboovu
燴	hbou
燴	hbouiv
烠	hbouv
烠	hbouvu
麾	hbov
咴	hbovu
咴	hbovuo
麾	hbovuv
毀	hbu
獪	hbua
獪	hbuaiv
膾	hbui
毀	hbuiua
膾	hbuivi
卉	hbuo
卉	hbuovu
徽	hbuu
徊	hbuui
徊	hbuuia
徽	hbuuia
穢	hbuv
穢	hbuviv
灰	hbv
匯	hbva
匯	hbvaio
惠	hbvi
惠	hbvioa
檜	hbviv
檜	hbvivi
恚	hbvo
恚	hbvooa
虺	hbvu
虺	hbvuia
灰	hbvuou
慧	hbvv
彗	hbvva
彗	hbvvav
橞	hbvvi
橞	hbvvia
琿	hbvvo
慧	hbvvoa
琿	hbvvoa
後	hd
緱	hda
緱	hdaaia
候	hdi
侯	hdia
骺	hdiau
骺	hdiauu
侯	hdiavu
候	hdiiav
餱	hdio
鍭	hdioi
鍭	hdioia
餱	hdioia
喉	hdo
吼	hdoa
吼	hdoaiv
喉	hdoiav
吽	hdou
吽	hdouvv
瘊	hdov
瘊	hdovia
后	hdu
猴	hdua
猴	hduaia
鮜	hduau
鮜	hduauu
齁	hdui
齁	hduiua
鱟	hduo
鱟	hduoua
逅	hduu
郈	hduua
後	hduuaa
郈	hduuai
逅	hduuoa
垕	hduuv
后	hduuvo
垕	hduuvo
篌	hduv
篌	hduvia
厚	hdv
堠	hdvo
堠	hdvoia
厚	hdvuoi
合	he
河	hea
紇	heaa
紇	heaauv
涸	heai
涸	heaiau
渴	heao
渴	heaoiu
翯	heaoo
翯	heaoov
賀	heau
賀	heauao
河	heavoi
何	hei
蝎	heia
蝎	heiaoi
咼	heiav
咼	heiavi
荷	heii
菏	heiia
菏	heiiav
荷	heiiiv
蓋	heiiv
蓋	heiivo
餄	heio
餄	heioiv
盒	heiv
郃	heiva
郃	heivai
翕	heivao
翕	heivao
盒	heivia
何	heivoi
合	heivoo
齕	heivu
齕	heivuv
龢	heivuv
龢	heivuv
頜	heivv
壑	heivvo
壑	heivvo
頜	heivvu
喝	heo
鶴	heoa
褐	heoao
褐	heoaoi
鶴	heoaui
訶	heoav
訶	heoavo
嗬	heoi
閤	heoii
嗬	heoiii
閤	heoiiv
閡	heoio
閡	heoiov
曷	heoiu
曷	heoiua
鶡	heoiui
鶡	heoiui
闔	heoiv
闔	heoiva
喝	heooiu
熇	heou
熇	heouov
呵	heov
劾	heova
劾	heovau
嚇	heovo
呵	heovoi
嚇	heovou
禾	heu
貉	heuo
貉	heuoua
盉	heuv
盉	heuvia
禾	heuviu
和	heuvo
和	heuvoo
核	hev
𬌗	heva
𬌗	hevaiv
鞨	hevi
鞨	hevioi
覈	heviu
覈	heviui
赫	hevo
翮	hevoa
郝	hevoai
郝	hevoai
翮	hevoao
盍	hevoi
盍	hevoia
垎	hevou
垎	hevoua
核	hevova
赫	hevovo
耠	hevv
耠	hevviv
漢	hf
汗	hfa
涵	hfaa
涵	hfaaio
函	hfai
函	hfaiai
浛	hfaio
浛	hfaioa
瀚	hfau
瀚	hfauoo
漢	hfavii
汗	hfavvi
含	hfi
蚶	hfia
崡	hfiaa
崡	hfiaai
虷	hfiav
蚶	hfiavi
嵅	hfiavu
嵅	hfiavu
虷	hfiavv
菡	hfii
菡	hfiiai
蔊	hfiio
蔊	hfiiou
頷	hfio
銲	hfioo
銲	hfiooi
含	hfiooo
頷	hfiovu
撼	hfiu
捍	hfiuo
捍	hfiuoi
撖	hfiuv
撖	hfiuv
撼	hfiuvu
扞	hfiuvv
扞	hfiuvv
頜	hfiv
頜	hfivvu
喊	hfo
罕	hfoa
罕	hfoavv
旱	hfoi
晗	hfoii
晗	hfoiio
暵	hfoiv
暵	hfoivi
闞	hfoivi
闞	hfoivi
旱	hfoivv
寒	hfoo
	hfooi
	hfooia
悍	hfooo
悍	hfoooi
寒	hfoooo
憾	hfoov
憾	hfoovu
焊	hfou
焓	hfoui
焓	hfouio
焊	hfouoi
喊	hfovuv
韓	hfu
犴	hfua
犴	hfuavv
鼾	hfui
鼾	hfuivv
翰	hfuo
韓	hfuoai
翰	hfuoia
酣	hfv
憨	hfvi
邯	hfvia
邯	hfviai
憨	hfvioa
酐	hfviv
酣	hfvivi
酐	hfvivv
垾	hfvo
垾	hfvooi
頇	hfvv
邗	hfvva
邗	hfvvai
琀	hfvvi
琀	hfvvio
頇	hfvvvu
壞	hg
淮	hga
淮	hgaiov
懷	hgo
踝	hgoi
踝	hgoiia
懷	hgooov
徊	hgu
徊	hguuia
槐	hgv
壞	hgvoov
槐	hgvuia
還	hh
海	hha
孩	hhai
陔	hhaio
孩	hhaiov
陔	hhaiov
賅	hhao
賅	hhaoov
海	hhauva
骸	hhi
還	hhiaoa
骸	hhiaov
伙	hhio
伙	hhioui
駭	hhiv
駭	hhivov
害	hho
咍	hhoa
咍	hhoaoo
嗨	hhoau
嗨	hhoauv
嗐	hhoo
嗐	hhoooa
咳	hhoov
咳	hhoova
害	hhoovv
亥	hhov
劾	hhova
亥	hhovau
劾	hhovau
頦	hhovv
頦	hhovvu
氦	hhu
胲	hhuo
胲	hhuova
穫	hhuv
穫	hhuvii
氦	hhuvov
醢	hhv
醯	hhvi
醯	hhviva
醢	hhvivu
垓	hhvo
垓	hhvoov
胡	hj
湖	hja
滹	hjai
滹	hjaiva
滸	hjao
滸	hjaoau
滬	hjau
淴	hjaua
淴	hjauau
嫭	hjaui
嫭	hjauiv
湖	hjauoo
滬	hjauua
弧	hjav
弧	hjavuu
虎	hji
蝴	hjia
鶻	hjiau
囫	hjiaua
囫	hjiaua
鶻	hjiaui
岵	hjiauo
岵	hjiauo
蝴	hjiauo
葫	hjii
芴	hjiiu
芴	hjiiua
葫	hjiiuo
餬	hjio
鍃	hjiou
鍃	hjioua
餬	hjiouo
鬍	hjiv
虎	hjivua
鬍	hjivuo
虍	hjivv
虍	hjivva
護	hjo
祜	hjoa
護	hjoaii
隺	hjoau
隺	hjoaui
祜	hjoauo
許	hjoauv
許	hjoauv
唬	hjoi
昈	hjoio
昈	hjoioa
昒	hjoiu
昒	hjoiua
唬	hjoiva
惚	hjoo
怙	hjoou
惚	hjooua
怙	hjoouo
呼	hjou
唿	hjoua
唿	hjouau
呼	hjouou
糊	hjouu
烀	hjouuo
烀	hjouuo
煳	hjouuo
煳	hjouuo
糊	hjouuo
冱	hjov
冱	hjovva
乎	hju
忽	hjua
鸌	hjuai
鸌	hjuai
鱯	hjuaii
鱯	hjuaii
斛	hjuao
忽	hjuaoa
斛	hjuaoo
狐	hjuau
猢	hjuauo
猢	hjuauo
狐	hjuauu
鶘	hjuo
縠	hjuou
縠	hjuoua
胡	hjuouu
鶘	hjuouu
乎	hjuouv
戶	hjuu
戶	hjuuav
扈	hjuuo
扈	hjuuoa
戽	hjuuoo
戽	hjuuoo
胍	hjuuu
胍	hjuuua
衚	hjuuuo
衚	hjuuuo
和	hjuv
罅	hjuvi
罅	hjuviv
和	hjuvoo
鵠	hjuvu
笏	hjuvua
笏	hjuvua
鵠	hjuvui
篪	hjuvuu
篪	hjuvuu
互	hjv
軤	hjva
互	hjvaav
軤	hjvauo
醐	hjvi
醐	hjviuo
壺	hjvo
鄠	hjvoa
鄠	hjvoai
壺	hjvoiv
觳	hjvou
觳	hjvoua
核	hjvov
核	hjvova
槲	hjvu
槲	hjvuau
瓠	hjvuu
瓠	hjvuuu
瑚	hjvv
琥	hjvvi
琥	hjvviv
瑚	hjvvuo
或	hl
活	hla
濩	hlai
濩	hlaiii
漷	hlao
漷	hlaovo
活	hlauvi
彠	hlav
彠	hlavii
貨	hli
夥	hlia
蠖	hliai
蠖	hliaii
夥	hliaua
藿	hlii
劐	hliii
劐	hliiii
蒦	hliiio
蒦	hliiio
藿	hliivi
鑊	hlio
鑊	hlioii
鈥	hlioo
鈥	hlioou
鍃	hliou
鍃	hlioua
攉	hliu
貨	hliuao
佸	hliuv
佸	hliuvi
攉	hliuvo
騞	hliv
騞	hlivvv
火	hlo
禍	hloa
禍	hloaia
嚄	hloi
嚄	hloiii
豁	hloo
豁	hloouo
㸌	hlou
火	hlouii
馘	hlouv
㸌	hlouvi
馘	hlouvo
嚯	hlov
嚯	hlovia
和	hlu
獲	hlua
獲	hluaii
鸌	hlui
鸌	hluiii
笏	hluv
和	hluvoo
笏	hluvua
霍	hlv
惑	hlvo
霍	hlvoio
惑	hlvooa
或	hlvova
耠	hlvv
耠	hlvviv
砉	hlvvv
砉	hlvvvu
很	hn
恨	hno
詪	hnoa
詪	hnoaav
哏	hnoav
哏	hnoavv
噙	hnoi
噙	hnoiov
恨	hnooav
痕	hnov
痕	hnovav
狠	hnu
狠	hnuaav
很	hnuuav
行	hp
沆	hpa
絎	hpaa
絎	hpaauu
沆	hpaovu
吭	hpo
吭	hpoovu
頏	hpov
頏	hpovvu
航	hpu
肮	hpuo
肮	hpuovu
航	hpuuov
行	hpuuvv
杭	hpv
巷	hpvi
巷	hpviav
酐	hpviv
酐	hpvivv
杭	hpvovu
夯	hpvu
夯	hpvuau
桁	hpvuu
桁	hpvuui
珩	hpvv
珩	hpvvuu
話	hq
滑	hqa
滑	hqaiav
嫿	hqau
嫿	hqauav
嬅	hqaui
嬅	hqauii
畫	hqav
劃	hqavi
劃	hqavii
畫	hqavvv
化	hqi
花	hqii
劐	hqiii
劐	hqiiii
花	hqiiiu
華	hqiiv
華	hqiivu
鏵	hqio
鏵	hqioii
化	hqiuaa
驊	hqiv
驊	hqivii
譁	hqo
譁	hqoaii
話	hqoauv
嘩	hqoi
嘩	hqoiiv
猾	hqu
觟	hqua
猾	hquaia
觟	hquavo
砉	hqv
划	hqva
划	hqvaii
樺	hqvi
樺	hqviiv
砉	hqvvvu
橫	hr
姮	hra
絎	hraa
絎	hraauu
姮	hrauvo
蘅	hri
蘅	hriiuu
哼	hro
恆	hroo
哼	hroovo
恆	hroovu
亨	hrov
亨	hrovoa
衡	hru
鴴	hruu
衡	hruuua
鴴	hruuui
珩	hrv
桁	hrvu
桁	hrvuui
橫	hrvvii
珩	hrvvuu
哈	hs
蛤	hsi
蝦	hsia
蝦	hsiaav
蛤	hsiaiv
鉿	hsio
鉿	hsioiv
呵	hso
哈	hsoivo
呵	hsovoi
環	ht
緩	hta
幻	htaa
幻	htaaaa
繯	htaai
繯	htaaia
綄	htaao
綄	htaaoo
緩	htaauo
漶	htai
澴	htaia
澴	htaiai
漶	htaiav
浣	htao
浣	htaooa
渙	htau
渙	htauai
嬛	htaui
嬛	htauia
洹	htav
洹	htavoi
還	hti
患	htia
圜	htiai
圜	htiaia
患	htiaoa
還	htiaoa
䴉	htiau
䴉	htiaui
峘	htiav
峘	htiavo
歡	htii
儇	htiia
儇	htiiai
萑	htiii
萑	htiiio
歡	htiiua
荁	htiiv
荁	htiivo
鍰	htio
鐶	htioi
鐶	htioia
鍰	htiouo
換	htiu
擐	htiui
擐	htiuia
換	htiuua
鬟	htiv
鬟	htivia
喚	hto
諼	htoa
諼	htoauo
㬊	htoi
㬊	htoiuo
宦	htoo
寰	htooi
寰	htooia
逭	htooo
逭	htoooa
宦	htoovi
煥	htou
喚	htouai
煥	htouua
豢	htouv
豢	htouvu
瘓	htov
瘓	htovua
奐	htu
獾	htua
郇	htuaa
郇	htuaai
奐	htuaia
獾	htuaii
鯇	htuao
鯇	htuaoo
貆	htuo
貆	htuovo
桓	htv
垸	htvo
垸	htvooo
瓛	htvv
環	htvvia
瓛	htvviv
桓	htvvoi
黑	hw
混	hwa
溷	hwai
溷	hwaiav
渾	hwao
渾	hwaoav
混	hwaoiv
婚	hwau
婫	hwauo
婫	hwauoi
婚	hwauua
葷	hwi
黑	hwiaoo
葷	hwiiva
餛	hwio
𨭆	hwioi
𨭆	hwioia
餛	hwiooi
嘿	hwo
諢	hwoa
諢	hwoaoa
嗨	hwoau
嗨	hwoauv
閽	hwoi
嘿	hwoiao
閽	hwoiua
惛	hwoo
惛	hwooua
昏	hwu
昏	hwuaoi
魂	hwv
琿	hwvv
琿	hwvvoa
魂	hwvvui
黃	hx
隍	hxa
隍	hxaiui
滉	hxao
滉	hxaoii
湟	hxau
湟	hxauia
媓	hxauu
媓	hxauui
潢	hxav
潢	hxavii
荒	hxi
幌	hxia
幌	hxiaoi
蝗	hxiau
蝗	hxiaui
蟥	hxiav
蟥	hxiavi
荒	hxiiov
鍠	hxio
鍠	hxioui
鐄	hxiov
鐄	hxiovi
慌	hxo
謊	hxoa
謊	hxoaii
晃	hxoi
晃	hxoiio
惶	hxoo
恍	hxooi
慌	hxooii
恍	hxooio
惶	hxooui
煌	hxou
喤	hxoui
喤	hxouia
煌	hxouui
肓	hxov
肓	hxovuu
癀	hxovv
癀	hxovvi
皇	hxu
凰	hxua
鰉	hxuau
凰	hxuaui
鰉	hxuaui
遑	hxui
㿠	hxuii
㿠	hxuiio
遑	hxuioa
皇	hxuivv
徨	hxuu
艎	hxuuu
徨	hxuuui
艎	hxuuui
簧	hxuv
篁	hxuvu
篁	hxuvui
簧	hxuvvi
磺	hxv
黃	hxviiv
磺	hxvuvi
璜	hxvv
瑝	hxvvu
瑝	hxvvui
璜	hxvvvi
紅	hy
洪	hya
泓	hyaa
紘	hyaav
泓	hyaava
紅	hyaavi
紘	hyaavu
鴻	hyav
弘	hyava
弘	hyavao
洪	hyavii
鴻	hyaviv
虹	hyi
嶸	hyia
嶸	hyiaou
虹	hyiavi
薨	hyii
葒	hyiia
葒	hyiiaa
蕻	hyiii
蕻	hyiiiv
薨	hyiivu
鉷	hyio
鋐	hyioo
鋐	hyiooo
鉷	hyiovi
鬨	hyiv
鬨	hyivvi
宏	hyo
訌	hyoa
訌	hyoavi
閎	hyoi
閎	hyoivu
宏	hyoovu
烘	hyou
吽	hyouv
烘	hyouvi
吽	hyouvv
哄	hyov
哄	hyovii
竑	hyovv
竑	hyovvu
訇	hyu
訇	hyuaoa
黌	hyuo
谼	hyuov
谼	hyuovi
黌	hyuovi
肱	hyuv
肱	hyuvua
轟	hyv
轟	hyvava
翃	hyvu
翃	hyvuao
硔	hyvuv
硔	hyvuvi
玒	hyvv
玒	hyvvvi
好	hz
浩	hza
涸	hzai
涸	hzaiau
濠	hzao
灝	hzaoi
灝	hzaoio
淏	hzaoiv
淏	hzaoiv
濠	hzaovo
澔	hzau
好	hzauai
澔	hzauia
浩	hzauvi
蒿	hzi
蠔	hzia
蠔	hziaov
薅	hzii
薅	hziiau
蒿	hziiov
鎬	hzio
鎬	hzioov
侴	hziv
侴	hzivav
號	hzo
昊	hzoi
嚆	hzoii
嚆	hzoiio
顥	hzoiv
顥	hzoivu
昊	hzoivv
嚎	hzoo
嚎	hzoovo
嗥	hzou
嗥	hzouia
毫	hzov
鄗	hzova
鄗	hzovai
饕	hzovi
饕	hzovio
號	hzoviv
麾	hzovu
毫	hzovuv
麾	hzovuv
豪	hzovv
豪	hzovvu
皓	hzu
皞	hzui
皞	hzuiui
皓	hzuiuv
貉	hzuo
貉	hzuoua
耗	hzv
郝	hzvo
郝	hzvoai
壕	hzvoo
壕	hzvoov
耗	hzvvuv
進	jb
盡	jba
浸	jbaa
津	jbaav
縉	jbaava
縉	jbaava
津	jbaavv
浸	jbaavv
濜	jbaavv
濜	jbaavv
巹	jbai
巹	jbaiav
贐	jbao
贐	jbaoav
矜	jbaoi
矜	jbaoio
妗	jbau
妗	jbauio
溍	jbav
盡	jbavia
溍	jbavii
金	jbi
巾	jbia
巾	jbiaii
儘	jbiav
儘	jbiavi
藎	jbii
藎	jbiiav
今	jbio
今	jbioaa
金	jbioo
進	jbiooa
錦	jbiou
錦	jbioui
釿	jbiouu
釿	jbiouu
饉	jbiov
饉	jbiovi
搢	jbiu
搢	jbiuva
僅	jbiv
僅	jbivii
謹	jbo
襟	jboa
祲	jboaa
祲	jboaav
衿	jboai
衿	jboaio
謹	jboavi
襟	jboavv
燼	jbou
燼	jbouav
噤	jbov
廑	jbovv
廑	jbovvi
噤	jbovvv
近	jbu
斤	jbuu
近	jbuuoa
斤	jbuuvi
筋	jbuv
筋	jbuvua
禁	jbv
勁	jbva
勁	jbvaau
晉	jbvao
晉	jbvaoi
戩	jbvav
戩	jbvava
緊	jbvi
緊	jbviaa
覲	jbvii
堇	jbviia
堇	jbviia
覲	jbviia
靳	jbviu
靳	jbviuu
墐	jbvo
墐	jbvovi
殣	jbvu
殣	jbvuvi
瑾	jbvv
珒	jbvva
珒	jbvvav
槿	jbvvi
槿	jbvvii
璡	jbvvio
璡	jbvvio
瑨	jbvvv
瑨	jbvvvi
瑾	jbvvvi
禁	jbvvvv
教	jc
繳	jca
剿	jcaa
糸	jcaai
剿	jcaaii
糸	jcaaiu
絞	jcaao
絞	jcaaov
繳	jcaaui
滘	jcao
滘	jcaoau
嬌	jcau
姣	jcauo
姣	jcauov
漖	jcauov
漖	jcauov
嬌	jcauuv
湫	jcauv
湫	jcauvi
澆	jcav
澆	jcavov
焦	jci
蛟	jcia
峧	jciao
峧	jciaov
蛟	jciaov
嶠	jciau
嶠	jciauv
蕉	jcii
蕉	jciiio
茭	jciio
藠	jciioi
藠	jciioi
斠	jciioo
斠	jciioo
僬	jciiov
僬	jciiov
茭	jciiov
艽	jciiu
艽	jciiua
佼	jcio
劁	jcioi
劁	jcioii
鉸	jcioo
焦	jciooo
鉸	jcioov
餃	jcioov
